Date,Open,High,Low,Close,Volume,Stock Splits
1992-04-14,14.668645858764648,15.165888091265144,14.668645858764648,14.668645858764648,50600,0.0
1992-04-15,14.917265818669245,14.917265818669245,11.933812654935396,12.92829704284668,209100,0.0
1992-04-16,12.928298786122312,12.928298786122312,11.187950872605848,11.560882568359375,173400,0.0
1992-04-20,11.560881214141846,12.431055068969727,10.690707359313965,12.431055068969727,145100,0.0
1992-04-21,12.928299176810992,12.928299176810992,12.182435762764204,12.555367469787598,121300,0.0
1992-04-22,12.679676055908203,12.679676055908203,11.933812758501839,12.679676055908203,40800,0.0
1992-04-23,12.679676289461097,12.679676289461097,11.933812978316325,12.18243408203125,44400,0.0
1992-04-24,12.182435549222506,12.182435549222506,11.187951014592096,11.312261581420898,61400,0.0
1992-04-27,11.187949562072754,12.431055068969727,11.187949562072754,12.431055068969727,53300,0.0
1992-04-28,12.431055068969727,13.052607822418212,12.182433967590331,12.431055068969727,66700,0.0
1992-04-29,12.928296730735086,13.922781094637784,12.928296730735086,13.67416000366211,74200,0.0
1992-04-30,13.9227821915238,14.171403302086725,13.42553997039795,13.42553997039795,94000,0.0
1992-05-01,13.1769181398245,13.674160333780142,12.431054848891037,12.92829704284668,27500,0.0
1992-05-04,12.928298600223087,13.674161981005188,12.431056346368353,13.549851417541504,45800,0.0
1992-05-05,13.674161643312688,14.171403884887695,13.176919401737681,14.171403884887695,28800,0.0
1992-05-06,14.17140218561346,14.17140218561346,13.67416000366211,13.67416000366211,21300,0.0
1992-05-07,14.171403050422668,14.171403050422668,13.674160838127136,13.922781944274902,25500,0.0
1992-05-08,13.67416070432079,13.67416070432079,11.685191874601403,12.18243408203125,68400,0.0
1992-05-11,12.18243420124054,12.431055307388306,11.933813095092773,11.933813095092773,39400,0.0
1992-05-12,11.933813095092773,12.431055307388306,11.933813095092773,11.933813095092773,23100,0.0
1992-05-13,11.685191988945007,12.18243420124054,11.436570882797241,11.933813095092773,30600,0.0
1992-05-14,11.933813343877379,11.933813343877379,11.43657112121582,11.43657112121582,9200,0.0
1992-05-15,11.685191422366024,11.685191422366024,10.690707045994447,11.063638687133789,48700,0.0
1992-05-18,11.436572148249699,11.436572148249699,10.939329880934496,11.312261581420898,58300,0.0
1992-05-19,11.685192108154297,11.93381321683843,11.436570999470163,11.685192108154297,32500,0.0
1992-05-20,11.436571248372395,11.685192362467447,11.187950134277344,11.187950134277344,16700,0.0
1992-05-21,11.685192362467447,11.685192362467447,10.690707906087239,11.187950134277344,35000,0.0
1992-05-22,10.690707564353943,11.933813095092773,10.690707564353943,11.933813095092773,25100,0.0
1992-05-26,11.933813095092773,12.431055307388306,11.685191988945007,11.933813095092773,27100,0.0
1992-05-27,12.431054848891037,13.1769181398245,12.431054848891037,12.92829704284668,44200,0.0
1992-05-28,12.9282977492721,13.42553997039795,12.679676638709175,13.42553997039795,25200,0.0
1992-05-29,13.425538912686434,13.922781094637784,13.176917821710761,13.67416000366211,45300,0.0
1992-06-01,13.425538912686434,14.17140218561346,13.425538912686434,13.67416000366211,20400,0.0
1992-06-02,13.674161080960875,14.42002441264965,13.42553997039795,13.42553997039795,29900,0.0
1992-06-03,13.176918029785156,13.425539124686763,12.679675839981943,13.176918029785156,26500,0.0
1992-06-04,13.176920314826587,13.176920314826587,11.933814624748607,12.555367469787598,56100,0.0
1992-06-05,12.30674440720502,12.679676055908203,12.182433857637294,12.679676055908203,52500,0.0
1992-06-08,12.679676289461097,12.679676289461097,12.18243408203125,12.18243408203125,203100,0.0
